family,count,pct,median_date_range,mean_date_range
Tight,14313,7.83,0,0.8
F2_Other,17528,9.59,21,22.1
F1_round,110997,60.7,99,129.4
F3_periodic,8145,4.45,29,31.9
Big,31870,17.43,79,109.8
