cohort,N,epitaph (funerary),votive,identification,honorific,building/dedicatory,mile-/leaguestone,military diploma,boundary,acclamation,other small,unknown
full_corpus,182853,55.87,9.24,12.5,3.64,1.96,1.49,0.24,0.26,0.2,0.75,13.85
A_Tight,14313,5.21,11.51,15.97,14.64,5.61,12.24,2.46,0.73,0.04,1.22,30.38
B_FamFilt,31841,17.63,9.24,20.26,12.8,5.38,7.67,1.34,0.99,0.08,1.34,23.28
C_Width23,25133,9.09,10.84,18.78,15.11,6.24,9.33,1.68,1.21,0.05,1.5,26.18
