LIST-ID,EDCS-ID,EDH-ID,urban_context_city,pleiades_id,province_edcs,province_edh,province,most_common_province,most_common_count
518160,EDCS-09400906,HD010407,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518161,EDCS-09400908,HD010413,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518163,EDCS-09400912,HD010425,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518164,EDCS-09400913,HD010428,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518165,EDCS-09400914,HD010431,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518166,EDCS-09400915,HD010434,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518167,EDCS-09400916,HD010437,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518168,EDCS-09400917,HD010440,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518169,EDCS-09400918,HD010443,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518170,EDCS-09400919,HD010446,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518171,EDCS-09400920,HD010449,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518179,EDCS-09400931,HD010485,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518187,EDCS-09400951,HD010545,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
518890,EDCS-20700056,HD010368,Tegianum,446234,Roma,Latium et Campania (Regio I),Roma,Bruttium et Lucania / Regio III,38.0
504857,EDCS-04001494,HD031168,Theveste,324831,Numidia,Africa Proconsularis,Numidia,Africa Proconsularis,286.0
518177,EDCS-08500112,HD000968,Tibur,423081,Roma,Latium et Campania (Regio I),Roma,Latium et Campania / Regio I,264.0
519364,EDCS-05801900,HD030904,Tibur,423081,Samnium / Regio IV,Latium et Campania (Regio I),Samnium / Regio IV,Latium et Campania / Regio I,264.0
519365,EDCS-05801902,HD030907,Tibur,423081,Samnium / Regio IV,Latium et Campania (Regio I),Samnium / Regio IV,Latium et Campania / Regio I,264.0
496326,EDCS-13003605,HD041723,Tiddis,305167,Mauretania Caesariensis,Numidia,Mauretania Caesariensis,Numidia,30.0
496327,EDCS-13003606,HD041726,Tiddis,305167,Mauretania Caesariensis,Numidia,Mauretania Caesariensis,Numidia,30.0
496328,EDCS-13003607,HD041729,Tiddis,305167,Mauretania Caesariensis,Numidia,Mauretania Caesariensis,Numidia,30.0
496685,EDCS-08600667,HD000576,Tipasa,344519,Mauretania Caesariensis,Mauretania Caesariensis,Mauretania Caesariensis,Africa Proconsularis,25.0
496686,EDCS-08600669,HD000582,Tipasa,344519,Mauretania Caesariensis,Mauretania Caesariensis,Mauretania Caesariensis,Africa Proconsularis,25.0
496687,EDCS-08600670,HD000585,Tipasa,344519,Mauretania Caesariensis,Mauretania Caesariensis,Mauretania Caesariensis,Africa Proconsularis,25.0
496688,EDCS-28200123,HD046479,Tipasa,344519,Mauretania Caesariensis,Mauretania Caesariensis,Mauretania Caesariensis,Africa Proconsularis,25.0
252519,EDCS-26300071,,Tipasa,,Mauretania Caesariensis,,Mauretania Caesariensis,Africa Proconsularis,25.0
252520,EDCS-26500005,,Tipasa,,Mauretania Caesariensis,,Mauretania Caesariensis,Africa Proconsularis,25.0
192067,EDCS-05801422,,Trebula Suffenas,,Latium et Campania / Regio I,,Latium et Campania / Regio I,Samnium / Regio IV,84.0
192068,EDCS-05801423,,Trebula Suffenas,,Latium et Campania / Regio I,,Latium et Campania / Regio I,Samnium / Regio IV,84.0
516346,EDCS-13302413,HD018661,Tusculum,423108,Roma,Latium et Campania (Regio I),Roma,Latium et Campania / Regio I,237.0
477756,EDCS-20500252,HD047642,Valentia (Hispania Tarraconensis) (1),442845,Gallia Narbonensis,Narbonensis,Gallia Narbonensis,Hispania Citerior,151.0
477768,EDCS-33800096,HD052072,Valentia (Hispania Tarraconensis) (1),442845,Gallia Narbonensis,Narbonensis,Gallia Narbonensis,Hispania Citerior,151.0
515883,EDCS-15300609,HD022636,Verona,383816,Roma,Venetia et Histria (Regio X),Roma,Venetia et Histria / Regio X,369.0
515901,EDCS-15300613,HD022648,Verona,383816,Roma,Venetia et Histria (Regio X),Roma,Venetia et Histria / Regio X,369.0
515902,EDCS-15300614,HD022651,Verona,383816,Roma,Venetia et Histria (Regio X),Roma,Venetia et Histria / Regio X,369.0
518781,EDCS-15300616,HD022657,Verona,383816,Roma,Venetia et Histria (Regio X),Roma,Venetia et Histria / Regio X,369.0
518278,EDCS-48300001,HD015817,Verulae,138648,Roma,Latium et Campania (Regio I),Roma,Latium et Campania / Regio I,11.0
519638,EDCS-07000353,HD003728,Verulae,,Samnium / Regio IV,Samnium (Regio IV),Samnium / Regio IV,Latium et Campania / Regio I,11.0
522399,EDCS-04600158,HD027751,Vettona,416767,Venetia et Histria / Regio X,Venetia et Histria (Regio X),Venetia et Histria / Regio X,Umbria / Regio VI,40.0
505245,EDCS-13001908,HD000859,Vicetia,40091,Numidia,Numidia,Numidia,Venetia et Histria / Regio X,44.0
513548,EDCS-48800482,HD071435,Viroconium,79741,Provincia incerta,Britannia,Provincia incerta,Britannia,28.0
519720,EDCS-14804089,HD001726,Volturnum,438694,Samnium / Regio IV,Samnium (Regio IV),Samnium / Regio IV,Latium et Campania / Regio I,12.0
519739,EDCS-10701094,HD001723,Volturnum,438694,Samnium / Regio IV,Samnium (Regio IV),Samnium / Regio IV,Latium et Campania / Regio I,12.0
482911,EDCS-11800764,HD018373,Volubilis,275740,Germania superior,Mauretania Tingitana,Germania Superior,Mauretania Tingitana,81.0
482912,EDCS-11800765,HD018376,Volubilis,275740,Germania superior,Mauretania Tingitana,Germania Superior,Mauretania Tingitana,81.0
482916,EDCS-11800769,HD018388,Volubilis,275740,Germania superior,Mauretania Tingitana,Germania Superior,Mauretania Tingitana,81.0
