LIST-ID,EDCS-ID,EDH-ID,urban_context_city,pleiades_id,province_edcs,province_edh,province,most_common_province,most_common_count
505698,EDCS-05000825,HD055538,Icosium,,Numidia,Numidia,Numidia,Mauretania Caesariensis,2.0
493179,EDCS-05500371,HD039278,Ilici,265922,Lusitania,Hispania citerior,Lusitania,Hispania Citerior,46.0
487856,EDCS-24601049,HD041202,Iliturgi,,Hispania citerior,Hispania citerior,Hispania Citerior,Baetica,23.0
520900,EDCS-05100490,HD050941,Interamna Lirenas,432884,Transpadana / Regio XI,Latium et Campania (Regio I),Transpadana / Regio XI,Latium et Campania / Regio I,74.0
406564,EDCS-14805828,,Interamna Nahars,,Samnium / Regio IV,,Samnium / Regio IV,Umbria / Regio VI,135.0
406565,EDCS-14805829,,Interamna Nahars,,Samnium / Regio IV,,Samnium / Regio IV,Umbria / Regio VI,135.0
406566,EDCS-14805831,,Interamna Nahars,,Samnium / Regio IV,,Samnium / Regio IV,Umbria / Regio VI,135.0
406568,EDCS-14805837,,Interamna Nahars,,Samnium / Regio IV,,Samnium / Regio IV,Umbria / Regio VI,135.0
448122,EDCS-16100218,HD025090,Lambaesis,334570,Africa proconsularis,Numidia,Africa Proconsularis,Numidia,379.0
446812,EDCS-19800581,HD067543,Lauriacum,118802,Aemilia / Regio VIII,Aemilia (Regio VIII),Aemilia / Regio VIII,Noricum,134.0
446816,EDCS-27300217,HD050967,Lauriacum,118802,Aemilia / Regio VIII,Aemilia (Regio VIII),Aemilia / Regio VIII,Noricum,134.0
505866,EDCS-15200173,HD021735,Lebedus,599754,Palaestina,Iudaea,Palaestina,Creta et Cyrenaica,2.0
59520,EDCS-72700143,,Lebedus,,Asia,,Asia,Creta et Cyrenaica,2.0
491750,EDCS-11400912,HD001898,Luceria,442640,Latium et Campania / Regio I,Apulia et Calabria (Regio II),Latium et Campania / Regio I,Apulia et Calabria / Regio II,206.0
488208,EDCS-05601376,HD017322,Mantua,236534,Hispania citerior,Hispania citerior,Hispania Citerior,Venetia et Histria / Regio X,29.0
