LIST-ID,EDCS-ID,EDH-ID,trismegistos_uri,pleiades_id,transcription,inscription,clean_text_conservative,clean_text_interpretive_sentence,clean_text_interpretive_word,clean_text_interpretive_word_EDCS,diplomatic_text,province,place,inscr_type,status_notation,inscr_process,status,partner_link,last_update,letter_size,type_of_inscription,work_status,year_of_find,present_location,text_edition,support_objecttype,support_material,support_decoration,keywords_term,people,type_of_inscription_clean,type_of_inscription_certainty,height_cm,width_cm,depth_cm,material_clean,type_of_monument_clean,type_of_monument_certainty,province_label_clean,province_label_certainty,country_clean,country_certainty,findspot_ancient_clean,findspot_ancient_certainty,modern_region_clean,modern_region_certainty,findspot_modern_clean,findspot_modern_certainty,findspot_clean,findspot_certainty,language_EDCS,raw_dating,not_after,not_before,Longitude,Latitude,geometry,urban_context,urban_context_city,urban_context_pop_est,type_of_inscription_auto,type_of_inscription_auto_prob,date_range
7480,EDCS-39000048,,,,,Πρ[3],Πρ,,Πρ,Πρ,,Africa proconsularis,Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis,tituli possessionis,,,tituli possessionis,http://db.edcs.eu/epigr/partner.php?s_language=en&param=IRT0799j.html;P189544,,,,,,,,,,,,[],,False,,,,,,False,,False,,False,,False,,False,,False,,False,,171 to 2230,2230.0,171.0,14.26801,32.652183,POINT (14.26801 32.652183),large,Lepcis Magna,153722.0,,0.0,2059.0
172848,EDCS-05502250,,,,,Antonius / filio f(aciendum) c(uravit),Antonius filio f c,,Antonius filio faciendum curavit,Antonius filio faciendum curavit,,Hispania citerior,Lara de los Infantes / Nova Augusta,tituli sepulcrales,"nomen singulare, viri",,nomen singulare;  tituli sepulcrales;  viri,http://db.edcs.eu/epigr/partner.php?s_language=en&param=A8686,,,,,,,,,,,,[],,False,,,,,,False,,False,,False,,False,,False,,False,,False,,101 to 2009,2009.0,101.0,-3.445306,42.1230839,POINT (-3.445306 42.1230839),rural,,,epitaph,0.97,1908.0
