alpha_true,n_cells,mean_recovered,median_recovered,bias_mean,bias_min,bias_max,bias_std
0.05,90,0.12002311094352557,0.09356102997928462,0.07002311094352558,-0.01707442451617723,0.2088400030839978,0.06802381551936248
0.3,90,0.2899438046841469,0.28336437750151255,-0.010056195315853098,-0.19749882096312,0.15195813809480252,0.0865242121144005
0.5,90,0.4558257578781618,0.46501429360272706,-0.044174242121838236,-0.29071045571025933,0.1054689152977456,0.09163390237128125
0.7,90,0.6398661541166245,0.6589653560658718,-0.06013384588337541,-0.3505424176689663,0.05820270674273109,0.08246855805318512
0.95,90,0.8853323219423502,0.8971868939929257,-0.06466767805764963,-0.19649397747981068,0.00021623225466849139,0.045956184565535886
