alpha_true,shape_name,n_cells,mean_recovered,median_recovered,bias_mean,bias_min,bias_max
0.05,bimodal,15,0.06513157223339294,0.06248814468835445,0.015131572233392943,-0.005248688064896867,0.03643013004906347
0.05,flat_baseline,15,0.11026923989707255,0.09322736497696212,0.06026923989707254,-0.0012324395102542643,0.13095035597222704
0.05,regnal_cluster,15,0.2465678701776433,0.2486638000227545,0.1965678701776433,0.17575625293667096,0.2088400030839978
0.05,rise_and_fall,15,0.07664613158526633,0.07795531607236132,0.02664613158526634,-0.01707442451617723,0.06725410688875522
0.05,smooth_decline,15,0.1041082166680355,0.09410053616211046,0.05410821666803549,0.0047766001328687635,0.10300263581530363
0.05,smooth_growth,15,0.1174156350997428,0.10462509741411864,0.06741563509974279,0.01781654096885915,0.13133864718917093
0.3,bimodal,15,0.19323348680013808,0.19340133567779194,-0.10676651319986193,-0.19749882096312,-0.021872787789388337
0.3,flat_baseline,15,0.31330582669027596,0.29804405882055357,0.013305826690275965,-0.02019741702004968,0.10163001020260065
0.3,regnal_cluster,15,0.4343346987242876,0.43975308558108794,0.1343346987242876,0.097040711067085,0.15195813809480252
0.3,rise_and_fall,15,0.2236819629294112,0.2154977877839037,-0.07631803707058879,-0.14209099556376642,0.004454525708851076
0.3,smooth_decline,15,0.27743209426627496,0.2709048640134124,-0.022567905733725042,-0.06736321040170085,0.046351777161215135
0.3,smooth_growth,15,0.2976747586944936,0.29197170473344836,-0.002325241305506372,-0.045052286955969856,0.07599519114845998
0.5,bimodal,15,0.33136167376010955,0.3382449563721538,-0.16863832623989045,-0.29071045571025933,-0.06345857933021698
0.5,flat_baseline,15,0.5017508823833786,0.49905613285057915,0.001750882383378612,-0.045508580382228714,0.06134185032833417
0.5,regnal_cluster,15,0.5846729702576919,0.5864823288281736,0.08467297025769188,0.053258422770946834,0.1054689152977456
0.5,rise_and_fall,15,0.39054604247275,0.3900718085852985,-0.10945395752725003,-0.19472947210848618,-0.030110916564080548
0.5,smooth_decline,15,0.4530726717121086,0.4598041642611478,-0.04692732828789143,-0.11801838750189808,0.01930668334422636
0.5,smooth_growth,15,0.47355030668293197,0.482397583424952,-0.026449693317068004,-0.06671670730258372,0.03336909416210021
0.7,bimodal,15,0.5166206188349028,0.5251265405360757,-0.18337938116509714,-0.3505424176689663,-0.09233658468990091
0.7,flat_baseline,15,0.6944243635027559,0.6961284117266541,-0.005575636497244004,-0.059949771167260524,0.03707204419903354
0.7,regnal_cluster,15,0.7340397768757501,0.7407519022307768,0.03403977687575013,-0.0037589581309478426,0.05820270674273109
0.7,rise_and_fall,15,0.591681896687864,0.6078540467661863,-0.10831810331213604,-0.20439845476135504,-0.050930746103253544
0.7,smooth_decline,15,0.6432399677517893,0.657821171516582,-0.056760032248210655,-0.1288473705802763,-0.022132073449618872
0.7,smooth_growth,15,0.6591903010466852,0.6660643557891534,-0.0408096989533148,-0.09727966068552218,-0.006554001413568766
0.95,bimodal,15,0.8446256636655165,0.8520625562996554,-0.10537433633448338,-0.19649397747981068,-0.05676690194292433
0.95,flat_baseline,15,0.8997391494209925,0.91303234495602,-0.05026085057900751,-0.1360985154705805,-0.0016633857397846397
0.95,regnal_cluster,15,0.9008424544197465,0.9087622926417898,-0.04915754558025349,-0.13300750210263657,0.00021623225466849139
0.95,rise_and_fall,15,0.8878642129171299,0.9024666602382786,-0.06213578708287002,-0.14427515139085734,-0.021946534722372735
0.95,smooth_decline,15,0.8865217186506089,0.8986480058087659,-0.06347828134939111,-0.15396300142012576,-0.021283414888714325
0.95,smooth_growth,15,0.8924007325801077,0.9071006835115525,-0.05759926741989223,-0.14321435315185482,-0.015394239125549602
