w1_threshold_years,n_pass_all,n_pass_non_flat,pass_rate_all,pass_rate_non_flat
1.0,42,7,0.09333333333333334,0.018666666666666668
2.0,83,31,0.18444444444444444,0.08266666666666667
3.0,115,58,0.25555555555555554,0.15466666666666667
5.0,173,108,0.3844444444444444,0.288
7.5,229,154,0.5088888888888888,0.4106666666666667
10.0,308,233,0.6844444444444444,0.6213333333333333
