alpha_true,shape_name,median,mean,min,max
0.05,bimodal,1.3979835482238745,1.6787840513426149,0.7325691382649435,2.8216853927187056
0.05,flat_baseline,0.43234522037375667,0.602428554064892,0.16301588442959575,1.5889709073339253
0.05,regnal_cluster,9.694008999918138,9.626024976277147,8.85376181634689,10.061917736554673
0.05,rise_and_fall,1.5741996773459968,1.6164055051186623,0.6762092626467643,2.573154577181205
0.05,smooth_decline,3.06639016869887,3.7528426390956207,0.8639346659511861,7.770671497601053
0.05,smooth_growth,4.014719052044194,4.646882677963377,1.3248041459015025,8.969858381934596
0.3,bimodal,3.738559415633455,3.7447917999161358,1.841173561969855,5.842561751554632
0.3,flat_baseline,0.4840063447393581,0.7646324883266202,0.22122345310224098,1.7328541182774957
0.3,regnal_cluster,9.823287259735757,9.822664328130331,8.358088788707068,10.728608975902578
0.3,rise_and_fall,6.764119997845109,6.750008468992223,4.014515765656557,10.147856461885352
0.3,smooth_decline,4.73752909360276,4.369084257300215,1.7510134139748588,7.1545678209484596
0.3,smooth_growth,4.173031517774929,4.090137111539984,1.6521289538175719,6.704713706324098
0.5,bimodal,5.7279421825417876,6.249759033208026,3.8288242951458313,9.795401253757401
0.5,flat_baseline,0.7839672806960137,1.06596843504857,0.3110782412344547,2.255686368477732
0.5,regnal_cluster,10.029319574796261,10.142105109633262,8.899217212052365,12.007915727141231
0.5,rise_and_fall,10.039567174584636,11.051233052754718,7.895642225457809,18.216302028562723
0.5,smooth_decline,5.471617076019477,6.878487786275931,4.352275777747488,14.267171661444634
0.5,smooth_growth,5.498171413090734,5.826634819429056,3.261765175234903,10.59438981660676
0.7,bimodal,9.114077326599723,9.406940454354974,6.5441410728934635,13.793859958694508
0.7,flat_baseline,1.3920972250180554,1.7890344557559967,0.4282732406546237,4.221874044587127
0.7,regnal_cluster,10.402255686006637,10.547552854123188,9.257829380162203,12.582345583689584
0.7,rise_and_fall,14.187168248636262,15.825521135214355,11.119398767839936,24.464084162825976
0.7,smooth_decline,10.094584356479677,10.752596136408481,5.943944324401939,20.505480109388483
0.7,smooth_growth,8.448280727421935,9.369444111968203,4.286099984180906,17.44662861062855
0.95,bimodal,18.383052257658377,17.438696259707015,14.576710288712206,19.16457832143664
0.95,flat_baseline,5.688196346621013,5.470411214220122,3.572046311304745,7.255849727205009
0.95,regnal_cluster,21.285122733107496,23.230068808090266,9.346909399811947,37.37082768774398
0.95,rise_and_fall,36.39130475751439,35.93914441246658,21.6406998361834,49.356124636558334
0.95,smooth_decline,37.64834630433407,37.364497048004885,20.570064727320343,57.4192562206779
0.95,smooth_growth,32.67915468609719,32.27993133410956,15.17445199543375,49.740933744874
