cell_id,alpha_true,mean_alpha_median,median_alpha_median,std_alpha_median,n_reps,shape_name,tier_weights_name,n,bias
shape=bimodal_alpha=0.95_tier=pilot_proxy_N=2000,0.95,0.7535060225201893,0.7848376531179111,0.13373091224028336,100,bimodal,pilot_proxy,2000,-0.19649397747981068
shape=bimodal_alpha=0.95_tier=pilot_proxy_N=50000,0.95,0.884098899201464,0.8875792998016776,0.029434466486217947,100,bimodal,pilot_proxy,50000,-0.06590110079853595
shape=bimodal_alpha=0.95_tier=reign_heavy_N=10000,0.95,0.8494044380246009,0.8500098426657584,0.05145198278456789,100,bimodal,reign_heavy,10000,-0.1005955619753991
shape=bimodal_alpha=0.95_tier=reign_heavy_N=2000,0.95,0.8520625562996554,0.8507276649866318,0.05139487169460217,100,bimodal,reign_heavy,2000,-0.09793744370034452
shape=bimodal_alpha=0.95_tier=reign_heavy_N=50000,0.95,0.8793554322376684,0.8807062626602988,0.028799926945844465,100,bimodal,reign_heavy,50000,-0.07064456776233152
shape=bimodal_alpha=0.95_tier=uniform_N=10000,0.95,0.8401051695267214,0.8473133485563678,0.057951488041557433,100,bimodal,uniform,10000,-0.10989483047327853
shape=bimodal_alpha=0.95_tier=uniform_N=2000,0.95,0.7821377968313911,0.8003209678603423,0.09639628851083401,100,bimodal,uniform,2000,-0.1678622031686089
shape=bimodal_alpha=0.95_tier=uniform_N=50000,0.95,0.8830245074691496,0.8829915857251334,0.025297229760051092,100,bimodal,uniform,50000,-0.06697549253085033
shape=flat_baseline_alpha=0.05_tier=century_heavy_N=10000,0.05,0.09691287431684455,0.08319423669007957,0.04391729102051179,100,flat_baseline,century_heavy,10000,0.046912874316844544
shape=flat_baseline_alpha=0.05_tier=century_heavy_N=2000,0.05,0.18095035597222706,0.16735836736973667,0.07380465955689824,100,flat_baseline,century_heavy,2000,0.13095035597222704
shape=flat_baseline_alpha=0.05_tier=century_heavy_N=50000,0.05,0.05704482673508879,0.053628848052431725,0.02471373598261178,100,flat_baseline,century_heavy,50000,0.0070448267350887855
shape=flat_baseline_alpha=0.05_tier=half_century_heavy_N=10000,0.05,0.09259864198329387,0.0862371751673602,0.03308664444951528,100,flat_baseline,half_century_heavy,10000,0.04259864198329387
shape=flat_baseline_alpha=0.05_tier=half_century_heavy_N=2000,0.05,0.17705858746733238,0.16309877001587708,0.06783739707757944,100,flat_baseline,half_century_heavy,2000,0.1270585874673324
shape=flat_baseline_alpha=0.05_tier=half_century_heavy_N=50000,0.05,0.0662552621276759,0.06346395698471924,0.018339146853489658,100,flat_baseline,half_century_heavy,50000,0.016255262127675904
shape=flat_baseline_alpha=0.05_tier=pilot_proxy_N=10000,0.05,0.09322736497696212,0.07987324206374602,0.04319656299162695,100,flat_baseline,pilot_proxy,10000,0.04322736497696211
shape=flat_baseline_alpha=0.05_tier=pilot_proxy_N=2000,0.05,0.17596262406060084,0.15656436537773416,0.07613200051116238,100,flat_baseline,pilot_proxy,2000,0.12596262406060083
shape=flat_baseline_alpha=0.05_tier=pilot_proxy_N=50000,0.05,0.04876756048974574,0.04175876451185569,0.021939559622136767,100,flat_baseline,pilot_proxy,50000,-0.0012324395102542643
shape=flat_baseline_alpha=0.05_tier=reign_heavy_N=10000,0.05,0.10405595801169681,0.09396705638222658,0.034785283817628104,100,flat_baseline,reign_heavy,10000,0.05405595801169681
shape=flat_baseline_alpha=0.05_tier=reign_heavy_N=2000,0.05,0.175046054074424,0.1637548031237132,0.06957056756524371,100,flat_baseline,reign_heavy,2000,0.12504605407442398
shape=flat_baseline_alpha=0.05_tier=reign_heavy_N=50000,0.05,0.06934421109594348,0.0674629098889155,0.015118473593359646,100,flat_baseline,reign_heavy,50000,0.019344211095943475
shape=flat_baseline_alpha=0.05_tier=uniform_N=10000,0.05,0.0827390118075977,0.07584522839315536,0.03373715600688921,100,flat_baseline,uniform,10000,0.032739011807597695
shape=flat_baseline_alpha=0.05_tier=uniform_N=2000,0.05,0.17458193094905802,0.1631270521910681,0.06246372438939274,100,flat_baseline,uniform,2000,0.12458193094905802
shape=flat_baseline_alpha=0.05_tier=uniform_N=50000,0.05,0.05949333438759684,0.05651598678111924,0.02046083441948101,100,flat_baseline,uniform,50000,0.009493334387596836
shape=flat_baseline_alpha=0.30_tier=century_heavy_N=10000,0.3,0.2798025829799503,0.28174856294368417,0.06962654208524859,100,flat_baseline,century_heavy,10000,-0.02019741702004968
