city,n,tier,province,latin_province
Pompeii,4508,reportable,Latium et Campania / Regio I,True
Salona,3465,reportable,Dalmatia,True
Ostia,2644,reportable,Latium et Campania / Regio I,True
Mogontiacum,2398,reportable,Germania superior,True
Aquileia,2034,reportable,Venetia et Histria / Regio X,True
Puteoli,1780,grey-band,Latium et Campania / Regio I,True
Carnuntum (1),1641,grey-band,Pannonia superior,True
Cirta,1020,sub-floor,Numidia,True
